Num,Ch,Res
10,0,1.64740630863
10,2,0.277038367236
10,1,3.94952746526
100,0,0.206554518734
100,2,0.695238975052
100,1,0.0678041982638
101,0,0.0
101,2,0.0
101,1,0.0
103,0,0.150383126229
103,2,0.0602190629888
103,1,0.0932635882573
104,0,0.493573742155
104,2,0.211721291622
104,1,0.176699487444
106,0,0.0
106,2,0.159474100766
106,1,0.0995658128618
107,0,0.319928324212
107,2,0.0678411652687
107,1,0.142759322572
108,0,0.196059679286
108,2,0.0541524736431
108,1,0.122724187369
109,0,0.152562588045
109,2,0.159769020098
109,1,0.286901120611
11,0,0.049534944076
11,2,1.30731834534
11,1,0.0602907755022
110,0,0.130343204179
110,2,0.0
110,1,0.109631375253
112,0,0.876712557327
112,2,0.0989646966643
112,1,0.154260840015
115,0,0.0
115,2,0.0
115,1,0.0
116,0,0.192545852249
116,2,0.102751460617
116,1,0.0722978757728
118,0,0.301689245086
118,2,0.0
118,1,0.210794442102
119,0,0.0
119,2,0.0
119,1,0.0
120,0,0.0819240368898
120,2,0.127485945689
120,1,0.0
121,0,0.108475904032
121,2,0.146588518819
121,1,0.0
123,0,0.088263592135
123,2,0.0
123,1,0.0
124,0,0.13905300885
124,2,0.0741595279301
124,1,0.0632707631621
126,0,0.167645619922
126,2,0.159191058002
126,1,0.223997345003
128,0,0.395069888496
128,2,0.351269213286
128,1,0.240851671337
13,0,0.796486228828
13,2,0.0
13,1,0.350604396015
131,0,0.109739545786
131,2,0.258222216103
131,1,0.0974520058664
132,0,0.0
132,2,0.0685333950514
132,1,0.0584590172818
17,0,0.437683582492
17,2,0.252158624669
17,1,0.327271167433
18,0,0.643279255391
18,2,0.0
18,1,0.678458800734
2,0,0.0760682158557
2,2,0.442230621429
2,1,0.112685992757
22,0,0.16522931911
22,2,0.210251035285
22,1,0.292559387962
23,0,1.42063903543
23,2,0.373551534309
23,1,0.260539487184
24,0,0.35456848458
24,2,0.193259822666
24,1,0.116332080347
25,0,0.190060383886
25,2,0.160293662281
25,1,0.114859508727
26,0,0.0460718777986
26,2,0.474906700884
26,1,0.0374448180164
28,0,0.0630799599489
28,2,0.187934140534
28,1,0.0414884209602
3,0,0.547434503064
3,2,0.144820855474
3,1,0.203740492383
31,0,1.05691641557
31,2,0.167706438827
31,1,0.143881860538
32,0,0.105533216543
32,2,0.0688470529234
32,1,0.0720430753563
34,0,0.0
34,2,0.195612803067
34,1,0.0
