Num,Ch,Hit_Direction,x_H,y_H,z_H,x_R,y_R,z_R,Res
46,2,0,-0.075,-0.2,0.08,-0.125,-0.1,0.034,0.117122384362
35,1,2,-0.092,0.2205,0.032,-0.075,0.2,0.114,0.118447265071
44,2,1,0,0.25,0,0.075,-0.1,0.08,0.0972008458809
7,1,0,0.125,0.1,0.08,-0.075,-0.2,0.08,0.078974734686
18,2,0,0.125,-0.2,0.034,-0.075,0.1,0.057,0.145705814151
37,1,1,-0.075,0.2,0.017,0.125,-0.2,0.08,0.0977893667486
29,1,1,-0.075,-0.2,0.017,-0.092,-0.25,0.017,1.31977400508
44,1,1,0,0.25,0,0.075,-0.1,0.08,0.0716586424524
50,1,2,0.092,0.227,0.032,-0.125,-0.1,0.034,0.223454814011
27,0,2,0.092,0.227,0.032,-0.092,-0.25,0.017,0.16861486757
41,0,1,-0.075,0.2,0.097,0.075,-0.1,0.08,0.0643767759466
34,1,1,0.15,0.25,0.017,-0.075,0.2,0.114,0.941353164193
13,1,2,-0.175,0.201,0,0.125,0.2,0.057,0.122299265523
18,1,0,0.125,-0.2,0.034,-0.075,0.1,0.057,0.0951522853972
40,1,1,0,-0.2,0,0.125,-0.2,0.08,0.0694006040322
22,0,2,-0.067,0.201,0.032,-0.075,-0.1,0.057,0.0924307133927
3,0,1,-0.115,-0.25,0.034,-0.125,0.25,0.034,0
3,2,1,-0.115,-0.25,0.034,-0.125,0.25,0.034,0
4,2,1,0,-0.25,0.034,-0.125,0.25,0.034,0
7,2,0,0.125,0.1,0.08,-0.075,-0.2,0.08,0
19,1,1,0.075,-0.2,0.017,-0.075,0.1,0.057,0
19,2,1,0.075,-0.2,0.017,-0.075,0.1,0.057,0
20,1,0,-0.075,-0.1,0.08,-0.075,0.1,0.057,0
21,0,1,0.125,0.25,0.034,-0.075,-0.1,0.057,0
21,2,1,0.125,0.25,0.034,-0.075,-0.1,0.057,0
28,1,0,-0.125,-0.225,0.034,-0.092,-0.25,0.017,0
31,1,1,-0.075,0.2,0.017,-0.075,0.2,0.114,0
32,1,0,-0.125,-0.2,0.08,-0.075,0.2,0.114,0
32,2,0,-0.125,-0.2,0.08,-0.075,0.2,0.114,0
36,1,1,0.075,0.2,0.097,0.125,-0.2,0.08,0
37,0,1,-0.075,0.2,0.017,0.125,-0.2,0.08,0
37,2,1,-0.075,0.2,0.017,0.125,-0.2,0.08,0
40,2,1,0,-0.2,0,0.125,-0.2,0.08,0
41,1,1,-0.075,0.2,0.097,0.075,-0.1,0.08,0
43,0,1,0,-0.25,0.097,0.075,-0.1,0.08,0
43,1,1,0,-0.25,0.097,0.075,-0.1,0.08,0
46,1,0,-0.075,-0.2,0.08,-0.125,-0.1,0.034,0
47,2,1,-0.075,-0.2,0.017,-0.125,-0.1,0.034,0
48,0,1,-0.092,0.25,0.097,-0.125,-0.1,0.034,0
49,0,1,0.075,0.2,0.08,-0.125,-0.1,0.034,0
