Num,Ch,Hit_Direction,x_H,y_H,z_H,x_R,y_R,z_R
50,1,2,0.092,0.227,0.032,-0.125,-0.1,0.034
1,2,2,-0.125,-0.201,0.032,-0.125,0.25,0.034
2,2,0,-0.125,0.2,0.08,-0.125,0.25,0.034
3,2,1,-0.115,-0.25,0.034,-0.125,0.25,0.034
4,2,1,0,-0.25,0.034,-0.125,0.25,0.034
5,2,2,0.15,-0.201,0.032,-0.125,0.25,0.034
6,2,1,0.175,-0.25,0,-0.075,-0.2,0.08
8,2,2,0.107,0.201,0.08,-0.075,-0.2,0.08
7,2,0,0.125,0.1,0.08,-0.075,-0.2,0.08
9,2,0,-0.125,0.1,0.034,-0.075,-0.2,0.08
10,2,1,0.125,0.2,0.057,-0.075,-0.2,0.08
11,2,1,-0.117,0.25,0.114,0.125,0.2,0.057
12,2,0,0.125,-0.2,0.08,0.125,0.2,0.057
13,2,2,-0.175,0.201,0,0.125,0.2,0.057
14,2,0,0.125,0.1,0.08,0.125,0.2,0.057
15,2,0,-0.075,-0.1,0.034,0.125,0.2,0.057
16,2,1,-0.125,0.25,0.034,-0.075,0.1,0.057
17,2,1,-0.125,0.25,0.08,-0.075,0.1,0.057
18,2,0,0.125,-0.2,0.034,-0.075,0.1,0.057
19,2,1,0.075,-0.2,0.017,-0.075,0.1,0.057
20,2,0,-0.075,-0.1,0.08,-0.075,0.1,0.057
21,2,1,0.125,0.25,0.034,-0.075,-0.1,0.057
22,2,2,-0.067,0.201,0.032,-0.075,-0.1,0.057
23,2,2,-0.175,-0.248,0,-0.075,-0.1,0.057
24,2,0,-0.075,0,0.057,-0.075,-0.1,0.057
25,2,1,0,0.2,0.057,-0.075,-0.1,0.057
26,2,1,0.075,0.2,0.08,-0.092,-0.25,0.017
27,2,2,0.092,0.227,0.032,-0.092,-0.25,0.017
28,2,0,-0.125,-0.225,0.034,-0.092,-0.25,0.017
29,2,1,-0.075,-0.2,0.017,-0.092,-0.25,0.017
30,2,1,0.125,-0.2,0.08,-0.092,-0.25,0.017
31,2,1,-0.075,0.2,0.017,-0.075,0.2,0.114
32,2,0,-0.125,-0.2,0.08,-0.075,0.2,0.114
