Hit_Direction,Response_Position,Ch,x_H,y_H,z_H,x_R,y_R,z_R,Num,Res
2,113,0,-0.06666667,-0.201499999,0.032000002,0.15,-0.2485,0.032000002,66,0.22071792095
0,114,0,0.075000003,0.200000003,0.057,0.15,-0.24849999,0.032000002,67,0.213374903833
1,114,0,-0.174999997,-0.25,0.079999998,0.15,-0.24849999,0.032000002,68,0.0902064241091
1,114,0,0.075000003,0.200000003,0.057,0.15,-0.24849999,0.032000002,69,0.0864956199611
2,116,0,0.091666669,-0.24849999,0.032000002,0.0,0.25,0.034000002,70,0.128730637084
0,119,0,0.075000003,-0.100000001,0.057,0.150000006,0.201499999,0.032499999,71,0.179081979735
0,120,0,0.125,0.25,0.057,0.091666669,0.25,0.017000001,72,0.0
1,120,0,0.125,0.25,0.057,0.091666669,0.25,0.017000001,73,1.00950331263
0,121,0,-0.075000003,0.200000003,0.057,-0.091666669,0.223499998,0.017,74,0.796120854683
1,121,0,-0.075000003,0.200000003,0.057,-0.091666669,0.223499998,0.017,75,0.0664220364352
1,125,0,0.0,0.200000003,0.034000002,0.174999997,-0.201499999,0.032000002,76,0.154248622826
1,126,0,-0.174999997,0.25,0.0,-0.091666669,-0.25,0.017000001,77,0.0209344493327
1,127,0,-0.174999997,0.25,0.034000002,-0.174999997,-0.223499998,0.032000002,78,0.0127793974747
1,131,0,-0.174999997,-0.25,0.114,0.0,-0.200000003,0.017000001,79,0.0287562928885
0,133,0,-0.125,-0.100000001,0.034000002,0.174999997,-0.25,0.017000001,80,0.177815549723
2,134,0,-0.150000006,-0.201499999,0.032000002,0.150000006,0.223499998,0.032499999,81,0.229820196833
1,135,0,0.091666669,0.25,0.017000001,0.174999997,0.223499998,0.032499999,82,0.452678367084
1,139,0,0.150000006,0.25,0.079999998,-0.150000006,0.24849999,0.032499999,83,0.480139350535
0,142,0,0.175,-0.25,0.079999998,-0.116666667,0.25,0.0,84,0.172926664363
1,142,0,0.175,-0.25,0.079999998,-0.116666667,0.25,0.0,85,0.371243421218
2,146,0,0.091666669,0.226500005,0.032499999,0.150000006,0.25,0.017000001,86,0.836289370064
2,146,0,-0.008333335,0.201499999,0.032499999,0.150000006,0.25,0.017000001,87,0.305158156859
0,148,0,-0.075000003,-0.200000003,0.057,0.0,0.25,0.0,88,0.39245126598
1,148,0,-0.075000003,-0.200000003,0.017000001,0.0,0.25,0.0,89,0.131430273518
1,150,0,0.0,0.200000003,0.0,0.174999997,0.25,0.017000001,90,0.186797136871
2,150,0,-0.091666669,0.24849999,0.032499999,0.174999997,0.25,0.017000001,91,0.067807560267
1,151,0,-0.174999997,-0.25,0.097000003,-0.116666667,-0.25,0.0,92,0.0
0,153,0,-0.125,0.200000003,0.057,-0.125,-0.100000001,0.079999998,93,0.105333173969
0,155,0,-0.075000003,-0.200000003,0.034,-0.075000003,-0.100000001,0.034000002,94,0.179494253984
1,155,0,-0.075000003,-0.200000003,0.0,-0.075000003,-0.100000001,0.034000002,95,0.0260334519028
1,161,0,-0.116666667,0.25,0.0,-0.125,-0.200000003,0.057,96,0.0
1,162,0,0.0,0.200000003,0.057,-0.125,-0.100000001,0.034000002,97,0.0126642401209
0,163,0,-0.075000003,0.200000003,0.057,0.075000003,0.100000001,0.057,98,0.948656754522
1,163,0,-0.075000003,0.200000003,0.017000001,0.075000003,0.100000001,0.057,99,0.037915947742
2,164,0,0.174999997,0.24849999,0.032499999,0.075000003,0.200000003,0.057,100,0.273008352932
1,167,0,0.174999997,0.25,0.0,0.075000003,0.0,0.057,101,0.0541429234945
0,168,0,-0.125,-3e-17,0.034000002,0.125,-0.100000001,0.034000002,102,0.0293647077523
1,175,0,0.058333334,-0.25,0.114,-0.125,0.100000001,0.079999998,103,0.184354074405
0,177,0,-0.125,0.200000003,0.079999998,-0.125,0.100000001,0.057,104,0.620269757627
0,177,0,-0.125,0.224999994,0.079999998,-0.125,0.100000001,0.057,105,1.0650918354
1,177,0,-0.125,0.200000003,0.079999998,-0.125,0.100000001,0.057,106,0.0383860220723
1,177,0,0.116666667,0.25,0.0,-0.125,0.100000001,0.057,107,0.207381795354
1,184,0,0.116666667,-0.25,0.0,0.125,-0.224999994,0.079999998,108,0.107428679598
0,186,0,0.125,0.25,0.034000002,-0.125,-0.224999994,0.057,109,0.218911504219
1,186,0,0.125,0.25,0.034000002,-0.125,-0.224999994,0.057,110,0.157245435764
2,190,0,-0.091666669,-0.24849999,0.032000002,0.075000003,0.100000001,0.034000002,111,0.250548648807
0,193,0,0.125,0.224999994,0.079999998,0.0,0.200000003,0.079999998,112,0.774577146326
0,198,0,0.125,0.25,0.034000002,-0.125,0.224999994,0.079999998,113,1.01196188305
1,198,0,0.125,0.25,0.034000002,-0.125,0.224999994,0.079999998,114,0.253775716577
1,199,0,-0.150000006,-0.25,0.034000002,-0.125,-0.224999994,0.079999998,115,0.0154286357278
1,207,0,0.174999997,-0.25,0.114,0.0,-0.200000003,0.079999998,116,0.133965282224
1,207,0,-0.033333331,-0.25,0.097000003,0.0,-0.200000003,0.079999998,117,0.0275113218815
0,208,0,-0.075000003,-0.200000003,0.057,-0.075000003,0.200000003,0.097000003,118,0.324304984801
1,208,0,-0.075000003,-0.200000003,0.017000001,-0.075000003,0.200000003,0.097000003,119,0.0658657802992
2,209,0,0.174999997,0.24849999,0.032499999,-0.150000006,-0.25,0.079999998,120,0.150316221861
2,217,0,-0.174999997,-0.223499998,0.032000002,0.0,-0.200000003,0.097000003,121,0.118421154849
0,218,0,0.075000003,-0.200000003,0.057,0.150000006,-0.25,0.08,122,0.230216534445
1,218,0,0.075000003,-0.200000003,0.0,0.150000006,-0.25,0.097000003,123,0.0965722079902
0,219,0,0.125,-0.224999994,0.057,-0.116666667,-0.25,0.114,124,0.233938880856
0,222,0,-0.075000003,0.100000001,0.034000002,0.0,-0.25,0.114,125,0.0167051848094
2,223,0,0.174999997,0.24849999,0.032499999,0.116666667,-0.25,0.114,126,0.110047284518
0,225,0,0.125,0.25,0.079999998,0.091666669,0.25,0.097000003,127,1.27825650701
1,225,0,0.125,0.25,0.079999998,0.091666669,0.25,0.097000003,128,0.489513862608
0,226,0,-0.075000003,0.200000003,0.057,0.15,0.25,0.114,129,1.13517280136
1,226,0,-0.075000003,0.200000003,0.097000003,0.15,0.25,0.114,130,0.233857631601
2,234,0,-0.008333335,0.201499999,0.0,0.174999997,0.25,0.097000003,131,0.106102908564
1,235,0,-0.116666667,-0.25,0.114,-0.091666669,0.25,0.097000003,132,0.0550873198246
2,238,0,-0.150000006,0.24849999,0.032499999,-0.150000006,0.25,0.079999998,133,0.279332655365
2,239,0,-0.008333335,0.223499998,0.032499999,-0.174999997,0.25,0.097000003,134,0.24028140364
1,1,1,0.0,-0.200000003,0.0,0.174999997,0.25,0.0,1,0.802095637088
1,3,1,0.0,0.25,0.0,0.125,0.25,0.034000002,2,0.350855563497
0,6,1,-0.075000003,-0.100000001,0.057,0.125,0.200000003,0.034000002,3,0.123622769149
1,8,1,-0.150000006,0.25,0.097000003,-0.075000003,0.200000003,0.0,4,1.2176944722
0,10,1,-0.125,-0.224999994,0.079999998,-0.075000003,0.200000003,0.034000002,5,0.109017855957
1,10,1,-0.174999997,-0.25,0.0,-0.075000003,0.200000003,0.034000002,6,0.0
0,12,1,0.125,0.224999994,0.034000002,0.125,-0.25,0.034000002,7,0.223281586897
1,12,1,-0.116666667,-0.25,0.114,0.125,-0.25,0.034000002,8,0.379111300426
1,21,1,0.075000003,-0.200000003,0.0,0.174999997,-0.25,0.0,10,1.39209040082
2,24,1,-0.150000006,0.24849999,0.032499999,0.075000003,0.200000003,0.079999998,11,0.105900336717
0,25,1,0.075000003,0.200000003,0.034,-0.075000003,0.200000003,0.079999998,12,0.168871404286
0,25,1,0.125,0.100000001,0.057,-0.075000003,0.200000003,0.079999998,13,0.92563141925
1,25,1,-0.058333334,0.25,0.114,-0.075000003,0.200000003,0.079999998,14,0.0502240254812
1,25,1,0.075000003,0.200000003,0.017000001,-0.075000003,0.200000003,0.079999998,15,0.0825199925507
2,28,1,0.091666669,0.24849999,0.032499999,-0.125,0.25,0.079999998,16,0.444606786636
0,31,1,0.075000003,0.100000001,0.034000002,0.125,0.200000003,0.079999998,17,0.45453617297
0,33,1,0.075000003,-0.100000001,0.079999998,0.125,-0.200000003,0.079999998,18,0.549356732708
0,34,1,0.075000003,0.200000003,0.057,-0.125,-0.200000003,0.079999998,19,0.155867263081
1,34,1,0.075000003,0.200000003,0.057,-0.125,-0.200000003,0.079999998,20,0.173878001109
0,37,1,-0.125,-0.224999994,0.034000002,-0.174999997,0.25,0.114,21,0.0851047512707
1,37,1,-0.058333334,0.25,0.114,-0.174999997,0.25,0.114,22,0.187683422437
1,38,1,0.150000006,0.25,0.034000002,-0.174999997,0.25,0.079999998,23,0.273475750381
2,40,1,-0.091666669,0.24849999,0.032499999,0.075000003,0.200000003,0.114,24,0.160715494185
0,50,1,0.125,-0.224999994,0.034000002,-0.058333334,-0.25,0.0,25,0.185430721387
1,52,1,0.0,0.25,0.114,0.125,-0.05,0.034000002,26,0.0350174574034
0,53,1,0.125,0.224999994,0.057,0.075000003,-0.05,0.034000002,27,0.770487540188
1,53,1,-0.150000006,0.25,0.079999998,0.075000003,-0.05,0.034000002,28,0.0644532643058
0,54,1,-0.125,-0.224999994,0.034000002,0.075000003,-0.05,0.079999998,29,0.0863338311113
1,56,1,-0.174999997,-0.25,0.097000003,-0.075000003,-0.075,0.079999998,30,0.0366564357392
0,60,1,0.125,0.25,0.034000002,0.058333334,0.25,0.114,31,0.228679842512
1,60,1,0.125,0.25,0.034000002,0.058333334,0.25,0.114,32,0.106840644558
2,61,1,-0.091666669,0.24849999,0.032499999,-0.058333334,0.25,0.114,33,0.181423555436
2,61,1,0.091666669,-0.201499999,0.032000002,-0.058333334,0.25,0.114,34,0.361929203259
1,64,1,-0.058333334,-0.25,0.114,-0.150000006,-0.24849999,0.032000002,35,0.0684754570699
0,66,1,-0.075000003,-0.200000003,0.034000002,0.0,0.200000003,0.017000001,36,0.299921721882
1,66,1,-0.075000003,-0.200000003,0.034000002,0.0,0.200000003,0.017000001,37,0.0856366310134
2,66,1,0.06666667,0.201499999,0.032499999,0.0,0.200000003,0.017000001,38,0.258410280107
1,71,1,0.0,0.25,0.034000002,-0.033333331,0.24849999,0.032499999,39,0.0826239322264
1,72,1,-0.174999997,-0.25,0.034000002,-0.033333331,0.25,0.017000001,40,0.367990897619
0,73,1,-0.075000003,-0.100000001,0.034000002,0.091666669,-0.201499999,0.032000002,41,0.089684607122
1,74,1,0.174999997,-0.25,0.079999998,0.06666667,-0.201499999,0.032000002,42,0.121310327252
0,75,1,0.125,-0.200000003,0.034000002,0.06666667,-0.25,0.032000002,43,0.0733333101121
0,75,1,0.125,-0.100000001,0.034000002,0.06666667,-0.25,0.032000002,44,0.0792072510155
1,75,1,0.125,-0.200000003,0.034000002,0.06666667,-0.25,0.032000002,45,1.10111212136
0,77,1,0.125,-0.224999994,0.079999998,0.008333335,-0.25,0.032000002,46,0.0747209560235
1,78,1,-0.150000006,0.25,0.034000002,0.116666667,-0.25,0.0,47,0.310795577465
0,84,1,-0.125,-0.200000003,0.057,0.125,-0.205,0.034000002,48,0.0724413966289
1,84,1,-0.125,-0.200000003,0.057,0.125,-0.205,0.034000002,49,0.119668243037
1,85,1,-0.116666667,-0.25,0.0,0.091666669,-0.205,0.032499999,50,0.147973846465
2,85,1,-0.150000006,0.226500005,0.032499999,0.091666669,-0.205,0.032499999,51,0.110569215411
1,91,1,-0.150000006,0.25,0.017000001,-0.008333335,0.201499999,0.032499999,52,0.0487942494037
1,94,1,-0.174999997,-0.25,0.079999998,-0.125,-0.205,0.034000002,53,0.0692507847308
1,97,1,0.150000006,-0.25,0.017000001,-0.150000006,-0.201499999,0.032000002,54,0.239464955037
0,99,1,-0.125,-0.25,0.057,-0.091666669,-0.201499999,0.032000002,55,0.148413717892
1,99,1,-0.125,-0.25,0.057,-0.091666669,-0.201499999,0.032000002,56,0.0774056499078
0,102,1,-0.075000003,-0.200000003,0.097000003,-0.06666667,-0.201499999,0.032000002,57,0.0200912893879
1,102,1,0.058333334,-0.25,0.114,-0.06666667,-0.201499999,0.032000002,58,0.113596649182
1,102,1,-0.075000003,-0.200000003,0.097000003,-0.06666667,-0.201499999,0.032000002,59,0.0370859414833
0,106,1,0.125,0.25,0.079999998,0.125,-0.205,0.034000002,60,0.0576473194038
1,106,1,0.125,0.25,0.079999998,0.125,-0.205,0.034000002,61,0.278544888481
0,109,1,-0.125,-0.200000003,0.034000002,-0.125,-0.205,0.034000002,62,0.0
1,109,1,-0.125,-0.200000003,0.034000002,-0.125,-0.205,0.034000002,63,0.075594248938
1,110,1,-0.058333334,-0.25,0.114,0.150000006,-0.24849999,0.032000002,64,0.728970526507
2,110,1,0.091666669,-0.223499998,0.032000002,0.150000006,-0.24849999,0.032000002,65,2.18524313732
2,113,1,-0.06666667,-0.201499999,0.032000002,0.15,-0.2485,0.032000002,66,0.671355774041
0,114,1,0.075000003,0.200000003,0.057,0.15,-0.24849999,0.032000002,67,0.083597599578
1,114,1,-0.174999997,-0.25,0.079999998,0.15,-0.24849999,0.032000002,68,0.177874234268
1,114,1,0.075000003,0.200000003,0.057,0.15,-0.24849999,0.032000002,69,0.070354011
