Quantity,Error
28784,0.0109139580194
14447.0,0.0544780935791
7328.0,0.0838338819138
3564.0,0.128770023359
1851,0.153431783993
1781.0,0.190199491612
109.0,0.474443747357
52.0,0.786206267416
