Frequency,N8671,N8768,N8774,N8775,N8808,N8826,N8931,N8937,N8979,N8983,N9025,N9027,N9032,N9089,N9132,N9135
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3.71812262756e-07,2.65316630248e-05,1.1939559954e-05,1.87934183487e-05,4.39027571701e-05,6.1109487433e-05,7.52710839151e-05,6.86910861987e-05,2.91860328616e-06,1.6311383888e-06,8.38007690618e-05,8.03107832326e-05,3.50705595338e-05,8.55248508742e-05,6.88363161316e-06,5.26870717295e-05
1.00594210625,3.76250056888e-07,2.68482999672e-05,1.20820541269e-05,1.90177070181e-05,4.442669524e-05,6.18387712166e-05,7.61693663662e-05,6.95108392392e-05,2.95343647849e-06,1.65060612289e-06,8.4800827608e-05,8.12692014733e-05,3.54890944436e-05,8.65454931045e-05,6.96578717907e-06,5.33158417966e-05
1.01196479797,3.80775105668e-07,2.71711578534e-05,1.22273468151e-05,1.92464067368e-05,4.49609324278e-05,6.25823813607e-05,7.70852857386e-05,7.03467012499e-05,2.98895406559e-06,1.67045641319e-06,8.58205457916e-05,8.22464571684e-05,3.59158620995e-05,8.75861733221e-05,7.04955846231e-06,5.39569664397e-05
1.01806998253,3.85389853363e-07,2.75004185823e-05,1.23755207824e-05,1.94796393771e-05,4.55057561339e-05,6.3340732595e-05,7.80193731771e-05,7.11991306162e-05,3.0251762837e-06,1.69070028733e-06,8.68604693096e-05,8.32430741866e-05,3.63510844181e-05,8.86475099833e-05,7.13499002813e-06,5.46108021808e-05
1.02425980568,3.90096943192e-07,2.78362658719e-05,1.25266615214e-05,1.97175377252e-05,4.60614865005e-05,6.41142542008e-05,7.89721525507e-05,7.20686293789e-05,3.06212314172e-06,1.71134922766e-06,8.79212093423e-05,8.42596346047e-05,3.6795019696e-05,8.97300633369e-05,7.22213189874e-06,5.52777237317e-05
1.03053605556,3.94899132061e-07,2.81788998109e-05,1.26808527057e-05,1.99602436624e-05,4.66284436698e-05,6.49034118396e-05,7.99441695563e-05,7.29556777515e-05,3.09981669488e-06,1.73241539869e-06,8.90033843461e-05,8.5296742327e-05,3.72479225916e-05,9.08344954951e-05,7.3110336416e-06,5.59581094421e-05
1.03690087795,3.99799290562e-07,2.85285186692e-05,1.28381907416e-05,2.02078990696e-05,4.72069623356e-05,6.57086493447e-05,8.09360135463e-05,7.38608214306e-05,3.13827877108e-06,1.75391130597e-06,9.01076127775e-05,8.63549939822e-05,3.77100623155e-05,9.19614467421e-05,7.40174937164e-06,5.66523813177e-05
1.04335665703,4.04800374554e-07,2.88853407255e-05,1.29987674882e-05,2.04606531042e-05,4.77973917441e-05,6.65304833092e-05,8.19482811494e-05,7.47846061131e-05,3.17753278978e-06,1.7758497961e-06,9.12345785764e-05,8.74350298545e-05,3.81817153539e-05,9.31116010179e-05,7.4943322943e-06,5.7360943174e-05
1.04990541935,4.09905425158e-07,2.92495788017e-05,1.31626829898e-05,2.07186640182e-05,4.8400099331e-05,6.73693939461e-05,8.29815980978e-05,7.57275920478e-05,3.21760330735e-06,1.79824439783e-06,9.23849875107e-05,8.8537519332e-05,3.86631727451e-05,9.42856713664e-05,7.58884061725e-06,5.80842352065e-05
1.05654966831,4.15117682451e-07,2.96214657283e-05,1.33300400194e-05,2.09820918826e-05,4.90154598083e-05,6.82259196765e-05,8.40366046759e-05,7.66903758631e-05,3.25851510752e-06,1.82110932201e-06,9.35595307965e-05,8.96631609066e-05,3.91547437175e-05,9.54843853833e-05,7.68533391238e-06,5.88227158005e-05
1.06329166889,4.20440500193e-07,3.00012379739e-05,1.35009477162e-05,2.12511058635e-05,4.96438697155e-05,6.9100606197e-05,8.51139848237e-05,7.76735832915e-05,3.30029433826e-06,1.84445923423e-06,9.4759001513e-05,9.08126676222e-05,3.96567411372e-05,9.67085288721e-05,7.78387311584e-06,5.95768578933e-05
1.07013392448,4.25877374255e-07,3.03891483782e-05,1.36755161293e-05,2.15258842218e-05,5.02857437823e-05,6.99940355844e-05,8.6214444309e-05,7.86778473412e-05,3.34296919391e-06,1.86830936855e-06,9.59841563599e-05,9.19868107303e-05,4.01694924221e-05,9.79588949122e-05,7.884524166e-06,6.03471526119e-05
1.07707929611,4.31431942616e-07,3.07854534185e-05,1.38538634928e-05,2.18066088564e-05,5.09415076522e-05,7.09067971911e-05,8.73387252796e-05,7.97038519522e-05,3.38656764143e-06,1.89267586848e-06,9.72358320723e-05,9.31863614824e-05,4.06933359045e-05,9.92363202386e-05,7.98735254648e-06,6.11341238255e-05
1.08413028717,4.37108042206e-07,3.11904259434e-05,1.40361116792e-05,2.20934762183e-05,5.16116160725e-05,7.18395313015e-05,8.84875917109e-05,8.07522956165e-05,3.43111923939e-06,1.91757499124e-06,9.85148799373e-05,9.44121420616e-05,4.12286390201e-05,0.000100541677966,8.09243192634e-06,6.19382990408e-05
1.09128975868,4.429095668e-07,3.16043478961e-05,1.42223861985e-05,2.23866809392e-05,5.22965274286e-05,7.27928709239e-05,8.96618512343e-05,8.1823898654e-05,3.47665582012e-06,1.94302492673e-06,9.98221948976e-05,9.56650110311e-05,4.17757764808e-05,0.000101875884866,8.19983233669e-06,6.27602494205e-05
