Frequency,N8757,N8758,N8763,N8788,N8811,N8813,N8815,N8932,N8973,N8975,N9020,N9024,N9038,N9048,N9103,N2969,N2970,N2983,N2996,N3011,N3016,N3281,N3788,N3789
1.06329166889,2.27984710364e-05,1.49113002408e-05,9.73877558863e-06,8.57825070852e-05,3.86263927794e-05,5.56440754735e-05,4.62421303382e-05,6.32688825135e-05,1.8203027139e-06,4.77542528188e-07,7.8882840171e-05,7.21715405234e-05,2.95902191283e-05,3.85531848224e-06,9.01525854715e-05,9.62621484746e-08,1.11333172015e-07,7.11696444e-08,7.46430401932e-08,1.85398505437e-07,1.54915355211e-07,7.3673732004e-08,1.21945888054e-07,9.42471132248e-08
1.07013392448,2.30938276218e-05,1.51045005623e-05,9.86495433608e-06,8.68935530889e-05,3.91267894884e-05,5.63648936804e-05,4.68411926704e-05,6.40884536551e-05,1.84389955393e-06,4.8372527317e-07,7.99045810709e-05,7.31063773856e-05,2.9973578421e-05,3.90529930883e-06,9.13201947697e-05,9.7508255692e-08,1.12775239813e-07,7.20903372553e-08,7.56086535603e-08,1.87797112972e-07,1.56919085725e-07,7.46270032437e-08,1.23523591355e-07,9.54681809162e-08
1.07707929611,2.33955943258e-05,1.53018936544e-05,9.99386975309e-06,8.80286825122e-05,3.96380419261e-05,5.71013479203e-05,4.74532535009e-05,6.49258145131e-05,1.86800866686e-06,4.90042054935e-07,8.09484845377e-05,7.40614996175e-05,3.03652595903e-05,3.95636470785e-06,9.25131316762e-05,9.87813777442e-08,1.14248585703e-07,7.30309679398e-08,7.65951782e-08,1.90247689602e-07,1.5896620198e-07,7.56009299607e-08,1.25135471762e-07,9.67157518517e-08
1.08413028717,2.37039730564e-05,1.55036141223e-05,1.01256118796e-05,8.91887102625e-05,4.01605029765e-05,5.7853943872e-05,4.80787348351e-05,6.57815326122e-05,1.89264699202e-06,4.96497250424e-07,8.20152636152e-05,7.50375402276e-05,3.07655245706e-05,4.00855105909e-06,9.37322110985e-05,1.00082374388e-07,1.1575422576e-07,7.39921830473e-08,7.76032891281e-08,1.92751883787e-07,1.61058110848e-07,7.65961729599e-08,1.26782637722e-07,9.79906786824e-08
1.09128975868,2.40191875491e-05,1.57098056661e-05,1.02602725747e-05,9.03744148673e-05,4.06945364375e-05,5.86232163187e-05,4.87180659547e-05,6.66561973048e-05,1.91783124137e-06,5.03095350268e-07,8.3105675003e-05,7.60352122597e-05,3.11746589432e-05,4.06189428759e-06,9.49782843236e-05,1.01412169329e-07,1.17293225799e-07,7.49746646989e-08,7.86336897818e-08,1.95311471884e-07,1.63196261838e-07,7.76134356784e-08,1.28466226101e-07,9.9293849587e-08
1.09856057167,2.43414597207e-05,1.59206119861e-05,1.03979500636e-05,9.15866694413e-05,4.12405279349e-05,5.9409707319e-05,4.93717197969e-05,6.75504561514e-05,1.94358017325e-06,5.09841129315e-07,8.42204899527e-05,7.70552287577e-05,3.15929573844e-05,4.11643304687e-06,9.62522535701e-05,1.02771721799e-07,1.18866665844e-07,7.59790950156e-08,7.9687126231e-08,1.97928287093e-07,1.65382203932e-07,7.86534428698e-08,1.30187459035e-07,1.00626202482e-07
1.10594594479,2.46710260399e-05,1.61361949722e-05,1.05387443909e-05,9.28263470996e-05,4.17988812842e-05,6.02140062256e-05,5.00401656609e-05,6.8464949436e-05,1.9699123186e-06,5.16739362411e-07,8.53605451994e-05,7.80983173172e-05,3.20207218465e-05,4.17220780946e-06,9.75550501607e-05,1.04162012349e-07,1.2047571829e-07,7.70062342781e-08,8.07643729672e-08,2.00604219458e-07,1.67617542957e-07,7.97169477096e-08,1.31947572868e-07,1.01988725021e-07
1.11344885826,2.5008135708e-05,1.63567110576e-05,1.0682761058e-05,9.40944009926e-05,4.23700112151e-05,6.1036706029e-05,5.07239128638e-05,6.94003756507e-05,1.99684768631e-06,5.23795506524e-07,8.65266847541e-05,7.91652710177e-05,3.24582797475e-05,4.2292604121e-06,9.88876636256e-05,1.05584099686e-07,1.22121591062e-07,7.80568285563e-08,8.18662115876e-08,2.0334130113e-07,1.69903913161e-07,8.08047673218e-08,1.3374791763e-07,1.03382433281e-07
1.12107276917,2.53530488408e-05,1.65823312273e-05,1.08301119326e-05,9.53917915467e-05,4.2954357923e-05,6.18784542894e-05,5.14234852744e-05,7.03574405634e-05,2.02440674002e-06,5.31014734406e-07,8.77197962836e-05,8.02569265943e-05,3.29059621436e-05,4.2876340558e-06,0.000100251098047,1.07039056729e-07,1.23805548924e-07,7.91316949744e-08,8.2993523165e-08,2.06141621106e-07,1.72243105112e-07,8.19177117251e-08,1.35589857564e-07,1.04808400181e-07
1.12882101536,2.57060346485e-05,1.68132337421e-05,1.09809107016e-05,9.6719537396e-05,4.35523834312e-05,6.27398912911e-05,5.21394285897e-05,7.13369154255e-05,2.05261153496e-06,5.38402844086e-07,8.89408474904e-05,8.13741207821e-05,3.33641255565e-05,4.34737512478e-06,0.000101646437543,1.08528034559e-07,1.25528913486e-07,8.02316719728e-08,8.41471603508e-08,2.09007367857e-07,1.74636923589e-07,8.30566690979e-08,1.37474827966e-07,1.06267741273e-07
